日期	时间	模式	左前	右前	左后	右后	经度	纬度	速度	航向	差分	俯仰角	侧倾角	纵向加速度	实际转向角	转向角命令	转向角速度命令
20180902_23:09:27	1535900967.903882	1	3.319	3.319	3.319	3.263	117.383068	39.554898	3.420	-167.718	3	-0.667	-0.176	0.50666	0.00000	0.000000	0.000000
20180902_23:09:27	1535900967.919482	1	3.431	3.431	3.375	3.375	117.383067	39.554897	3.560	-167.723	3	-0.656	-0.168	0.90944	0.00000	0.000000	0.000000
20180902_23:09:27	1535900967.935082	1	3.431	3.431	3.375	3.375	117.383067	39.554897	3.560	-167.723	3	-0.656	-0.168	0.90944	0.00000	0.000000	0.000000
20180902_23:09:27	1535900967.950682	1	3.544	3.544	3.544	3.544	117.383067	39.554897	3.560	-167.723	3	-0.656	-0.168	0.90944	0.00000	0.000000	0.000000
20180902_23:09:27	1535900967.966282	1	3.544	3.544	3.544	3.544	117.383067	39.554897	3.560	-167.723	3	-0.656	-0.168	0.90944	0.00000	0.000000	0.000000
20180902_23:09:27	1535900967.981882	1	3.544	3.544	3.544	3.544	117.383067	39.554897	3.696	-167.723	3	-0.647	-0.172	0.95158	0.00000	0.000000	0.000000
20180902_23:09:27	1535900967.997482	1	3.544	3.544	3.544	3.544	117.383067	39.554897	3.696	-167.723	3	-0.647	-0.172	0.95158	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.013082	1	3.712	3.712	3.656	3.712	117.383067	39.554897	3.696	-167.723	3	-0.647	-0.172	0.95158	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.028682	1	3.712	3.712	3.656	3.712	117.383067	39.554897	3.696	-167.723	3	-0.647	-0.172	0.95158	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.044282	1	3.712	3.712	3.656	3.712	117.383066	39.554897	3.841	-167.717	3	-0.643	-0.192	0.37338	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.059882	1	3.825	3.825	3.769	3.769	117.383066	39.554897	3.841	-167.717	3	-0.643	-0.192	0.37338	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.075482	1	3.825	3.825	3.769	3.825	117.383066	39.554897	3.841	-167.717	3	-0.643	-0.192	0.37338	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.091082	1	3.825	3.825	3.769	3.825	117.383066	39.554897	3.841	-167.717	3	-0.643	-0.192	0.37338	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.106682	1	3.825	3.825	3.769	3.825	117.383065	39.554897	4.042	-167.711	3	-0.633	-0.226	0.13328	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.122282	1	3.938	3.938	3.881	3.938	117.383065	39.554897	4.042	-167.711	3	-0.633	-0.226	0.13328	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.137882	1	3.938	3.938	3.881	3.938	117.383065	39.554897	4.042	-167.711	3	-0.633	-0.226	0.13328	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.153482	1	3.938	3.938	3.881	3.938	117.383065	39.554897	4.042	-167.711	3	-0.633	-0.226	0.13328	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.169082	1	4.106	4.106	4.050	4.050	117.383064	39.554897	4.164	-167.711	3	-0.619	-0.253	0.41650	0.00000	0.000000	0.000000
20180902_23:09:28	1535900968.184682	1	4.106	4.106	4.050	4.050	117.383064	39.554897	4.164	-167.711	3	-0.619	-0.253	0.41650	0.00000	0.000000	0.000000
